Full_species_name	Species_ID	Individual	Choosen_lib	Percent_BUSCO_single_copy	N50	Genome_size_completeness	Assembly_total_length	Genome_size	genScp_V	Longest_contig	L50	Contigs_>5_kbp	Ns_per_100_kbp
Doboatherina_duodecimalis	Adu	Adu-CHam_028_Ex1	Adu-C_scaffolds_all_spades_contam_R1R2ORPH_noisolate	52.6	9801	83.8	793118697	947000000	1	149411	23011	97091	397.91
Siganus_spinus	Ssp	Ssp-CGub_063_Ex3	Ssp-C_scaffolds_32R_spades_contam_R1R2ORPH_noisolate	58.2	8454	83.5	729799154	874000000	1	146686	20054	297998	TBD
Sphyraena_obtusata	Sob	Sob-CKal_014_Ex3	Sob-C_scaffolds_3NR_spades_contam_R1R2ORPH_noisolate	90.7	56806	86.7	459704274	530000000	1	577437	2341	21819	TBD
Hypoatherina_temminckii	Hte	Hte-CTic_070	Hte-C_scaffolds_1R_spades_contam_R1R2ORPH_noisolate	95	106379	97	428823787	442000000	1	811863	1146	8503	3.13
Taeniamia_biguttata	Tbi	Tbi-CJos	Tbi-C_scaffolds_500_spades_contam_R1R2ORPH_noisolate	62	12396	77.1	770808586	1000000000	1	240432	17307	256337	TBD
Taeniamia_zosterophora	Tzo	Tzo-CMvi_040_Ex1	Tzo-C_scaffolds_spades_contam_R1R2_noisolate	64.7	14515	99.3	812404903	817758761	1	320496	15479	1378037	TBD
Ambassis_urotaenia	Aur	TBD	Aur-C_scaffolds_3R_spades_contam_R1R2ORPH_noisolate	92.6	52465	97.2	432363777	445000000	1	431139	2384	473635	TBD
Equulites_laterofenestra	Lle	TBD	Lle-C_scaffolds_3NR_spades_contam_R1R2ORPH_noisolate_covcutoff-off	75.5	23599	93.7	490876564	524000000	1	233831	5583	34402	3.56
Spratelloides_gracilis	Sgr	Sgr-CMvi_007_Ex1	Sgr-C_scaffolds_spades_contam_R1R2_noisolate_covcutoff-off	38.4	6686	62.8	536156621	854000000	2	105644	24304	85997	14.73
Taeniamia_zosterophora	Tzo	TzC0402G	Tzo-C_scaffolds_results-SPAdes_TzC0402G_contam_R1R2_noIsolate	67.6	19682	39.21	834945222	817758761	2	252063	11491	63527	6.05
Herklotsichthys_quadrimaculatus	Hqu	allLibs	Hqu-C_scaffolds_results-SPAdes_contam_R1R2_noIsolate	48.8	9155	44.04	512737304	844721205	2	195361	15571	65871	843.69
Plotosus_lineatus	Pli	allLibs	Pli-C_scaffolds_results-SPAdes_contam_R1R2_noIsolate	37.9	8957	41.11	960099166	737856920	2	1070312	34066	125095	0
Salarias_fasciatus	Sfa	SfC0282A	Sfa-C_scaffolds_results-SPAdes_SfC0282A_contam_R1R2_noIsolate	0	18095	44.03	635000000	555041474	2	221552	8177	46311	892.51
Gerres_oyena	Goy	Goy-CPas_088_Ex1	GyC0881E	80.2	37754	99.7	531155459	533000000	2	397418	3908	24249	TBD
Halichoeres_miniatus	Hmi	Hmi-TBD	scaffolds_HmC0451B_contam_R1R2_21-99_isolateoff-covoff	61.5	10051	86.2	511188068	632000000	2	1106460	13877	200054	TBD
Corythoichthys_haematopterus	Cha	allLibs	scaffolds_results-SPAdes_allLibs_contam_R1R2_noIsolate	23	5207	42.58	465127131	342000000	?	552058	27175	87399	48.94
Dascyllus_aruanus	Dar	Dar-CJol-003-Ex1-9A	SPAdes_Dar-CJol-C_contam_R1R2_noIsolate	67	15320	40.99	701614529	782000000	2	185103	12689	63490	5.85
Pseudanthias_squamipinnis	Psq	Psq-CGal_005-Ex1	SPAdes_allLibs_contam_R1R2_noIsolate	66.4	13959	40.17	687593236	725000000	2	178454	13622	65477	23.46
Parupeneus_barberinus	Pbb	Pbb-CGal_008-Ex1	SPAdes_allLibs_contam_R1R2_noIsolate	59	8554	45.19	486262446	515000000	2	92752	17380	65592	15.76
Spratelloides_delicatulus	Sde	Sde-C01_061	allLibs	32.1	5471	na	347842987	na	did_not_coverge	85042	20780	na	4.44
Ambassis_buruensis	Abu												
Chromis_viridis	Cvi												
Lethrinus_variegatus	Lva												
Ostorhinchus_chrysopomus	Och												
Sphaeramia_nematoptera	Sne												
